	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
IronGreatSwordHTD_Name	Iron Greatsword		Espadon en fer		Eisernes Großschwert	Espada Bastada de Hierro	Железный великий меч								Demir Büyük Kılıç						Ijzeren Langzwaard		Espada Grande de Ferro Pesado	铁质大剑		철 대검								
IronGreatSwordHTD_Desc	A wavy greatsword of death, the design is foreign but quite effective.		Une grande épée de la mort, la conception est étrangère mais assez efficace.		Ein gewelltes Großschwert des Todes. Das Design ist fremd, aber sehr effektiv.	Una espada de la muerte ondulada, Su diseño es un poco extraño pero efectivo	Волнистый двуручный меч смерти, внешний вид немного запредельный, но весьма эффективный.								Kavisli büyük bir ölüm kılıcı, tasarımı yabancı ama oldukça etkili.						Een golvend langzwaard des doods, het ontwerp is vreemd maar zeer effectief.		Uma espada larga ondulada e mortal, a aparência é estranha, mas bastante eficaz.	一把波浪形的死亡大剑，设计很陌生但很有效。		뱀모양의 이국적인 검신은 생각보다 효과적입니다.								
IronHeavyGreatSwordHTD_Name	Heavy Iron Greatsword		Espadon en fer lourd		Schweres Eisengroßschwert	Espada Bastada de Hierro pesada	Железный тяжелый великий меч								Ağır Demir Büyük Kılıç						Zwaar Ijzeren Langzwaard		Espada Grande de Ferro Pesado	重铁大剑		중철 대검								
IronHeavyGreatSwordHTD_Desc	A foreignly designed weapon that is heavier towards the end, and in general. Harder to swing but stronger than a normal greatsword.		Un autre design étranger qui est plus lourd en général. Plus difficile à balancer mais plus solide qu'un espadon de fer normale.		Eine Waffe mit ausländischem Design, die gegen Ende und im Allgemeinen schwerer ist. Schwerer zu schwingen, aber stärker als ein normales Großschwert.	Otro diseño extranjero con el peso en la punta, dificil de blandir pero mas fuerte que su hermana pequeña	Еще один запредельный замысел, который имеет тяжесть на конце и в целом. Им труднее размахивать, тем не менее он сильнее, чем обычный большой железный меч.								Sonlara doğru ve genel olarak daha ağır olan başka bir yabancı tasarım. Savurması daha zor ama normal demir büyük kılıçtan daha güçlü.						Een vreemd ontworpen wapen dat zwaarder is richting de punt. Het is moeilijker te zwaaien maar sterker dan een normaal langzwaard		Uma arma de design estrangeiro, é mais pesada no final . Mais difícil de balançar, porém mais forte do que uma espada larga normal.	一种外来人设计的武器，在接近尾端时更重，一般来说。更难挥舞，但比普通的巨剑更强。		끝으로 갈수록 무거워지는 검신은 휘두르기 어렵지만 일반 철 양손검보다 강합니다.								
SilverGreatSwordHTD_Name	Silver Greatsword		Espadon en argent		Silbernes Großschwert	Espada Bastarda de plata	Серебряный великий меч								Gümüş Büyük Kılıç						Zilveren Langzwaard		Espada Grande de Prata	银质大剑		은 대검								
SilverGreatSwordHTD_Desc	A large silvered ceremonial sword, noble warriors would not choose to give up their personal safety by choice. However, the range and silver make this weapon great for hordes of undead.				Ein großes versilbertes Zeremonialschwert, edle Krieger würden ihre persönliche Sicherheit nicht freiwillig aufgeben. Die Reichweite und das Silber machen diese Waffe jedoch großartig für Horden von Untoten.	Una larga espada ceremonial, Normalmente los nobles no eligen un arma que les deje desprotegida, ademas la plata es buena contra los muertos vivientes.	Большой посеребренный церемониальный меч, по своей воле даже благородные воины не захотят отказатся от своей личной безопасности. Однако дальность и чистое серебро делают его отличным оружием против полчищ нежити.								Büyük bir gümüş merasim kılıcı. Asil olan savaşçılar kişisel güvenliklerinden vazgeçmeyi tercih etmezler. Ancak menzili ve saf gümüşten olması onu ölümsüz ordular için harika bir tercih olarak kılıyor.						Een groot verzilverd ceremonieel zwaard, adele krijgers zouden hun veiligheid niet vrijwillig opgeven. Evenals, het bereik en het zilver maken dit wapen geweldig tegen hordes ondonden.		Uma grande espada cerimonial de prata, os nobres guerreiros não escolheriam abrir mão de sua segurança pessoal. No entanto, o alcance e a prata tornam esta arma excelente para hordas de mortos-vivos.	一把超大的镀银仪式用剑，高贵的武者会用它捍卫自己的安全。 挥舞的范围和纯银材质对亡灵生物而言是致命的。		은으로 도금된 의식용 검. 이검을 지닌 고귀한 전사들은 죽은자들과의 싸움을 주저하지 않습니다.								
SilverGreatMaceHTD_Name	Great Silver Mace		Masse d'argent		Großer Silberstreitkolben	Gran maza de plata	Серебряный великая булава								Büyük Gümüş Gürz						Zilveren Grootknots		Excelente Maça de Prata	大银锤		은 양손메이스								
SilverGreatMaceHTD_Desc	Forged with silver and enchanted, the weight of the bludgeoning head makes it great against the undead. The enchantments give it the ability freeze those it hits.				Mit Silber geschmiedet und verzaubert, macht es das Gewicht des Knüppelkopfes großartig gegen die Untoten. Die Verzauberungen geben ihm die Fähigkeit, diejenigen einzufrieren, die er trifft.	Forjada  y encantada con plata, su peso y material la convierte en un arma muy deseada para acabar con los no-muerto, los encantamientos le otorgan el poder de congelar	Выкованная из серебра и зачарованная, именно такой вес серебра делает её отличным оружием против нежити, благодаря очищающему металлу и его плотности. Чары свою очередь дают ей возможность замораживать пораженных врагов.								Gümüşle dövülmüş ve büyülenmiş, gümüşün ağırlığı, arındırıcı metalden ve yoğunluktan onu ölümsüzlere karşı harika kılıyor. Büyüler ona çarptığını dondurma yeteneği sağlar.						Gesmeed met zilver en betoverd, het gewicht van de knots maakt het gewldig tegen ondoden. De betoveringen geeft het de kracht degene die geraakt worden te bevriezen. 		Forjado com prata e encantado, o peso da cabeça do golpe o torna grande contra os mortos-vivos. Os encantamentos dão a habilidade de congelar esses golpes.	用银锻造并附魔，银的重量使其从净化金属和密度上可以很好地对抗不死生物。 附魔使它能够冻结它击中的人。		은으로 단조되고 마법이 부여된 은 양손메이스는 교회의 이단심문관의 주무기입니다. 죽은자들에게 효과적입니다.								
SilverBattleaxeHTD_Name	Silver Battleaxe		Hache de combat en argent		Silberne Streitaxt	Hacha de guerra de plata	Серебряный боевой топор								Gümüş Savaş Baltası						Zilveren Strijdbijl		Machado de Batalha de Prata	银色战斧		은 전투도끼								
SilverBattleaxeHTD_Desc	Made from the purest of metals, this battleaxe is touched by the fury of the sky making it crackle with electricity. It can make due to sunder trees as well.				Diese aus reinsten Metallen gefertigte Streitaxt wird von der Wut des Himmels berührt und lässt sie vor Elektrizität knistern. Es kann auch aufgrund von Sunder Trees machen.	Forjada con el mas puro de los metales, Este hacha de batalla es tocada por la furia del cielo, haciendola crepitar con la electricidad.	Боевой топор из чистого металла, пораженный яростью неба, заставляющего его излучать электрические разряды. Искри также могут появится и при рубки деревьев.								Metallerin en safından olan bu savaş baltası, gökyüzünün gazabından etkilenir ve elektrikle kıvılcımlanır. Uzuvkoparan ağaçlar nedeniyle de yapabilir.						Gemaakt van de puurste metalen, deze strijdbijl is geraakt door de furie van de lucht waardoor het knettert met elektriciteit. Het zal ook voldoen om bome te splijtsen.		Feito com o mais puro dos metais, este machado de batalha é tocado pela fúria do céu fazendo-o estalar com eletricidade. Também pode ocorrer devido a árvores rachadas.	最纯净的金属，这把战斧被天空的愤怒所触动，使其发出电流声。 它也可能因树木被破坏而产生。		순수한 금속인 이 전투도끼는 하늘의 분노에 전율합니다.								
BlackMetalGreatSwordHTD_Name	Black Metal Greatsword		Espadon en metal sombre		Schwarzmetall-Großschwert	Espada Bastarda de metal oscuro	Великий меч из черного металла								Karametal Büyük Kılıç						Zwart Metaal Langzwaard		Espada de Metal Negro	黑金属大剑		흑철 대검								
BlackMetalGreatSwordHTD_Desc	A simple and yet crude greatsword, its blade shines green giving it a beautiful gleam.				Ein einfaches und doch grobes Großschwert, dessen Klinge grün glänzt und ihm einen schönen Glanz verleiht.	Una gran espada algo tosca y simple,  Brilla con un tenue verde  que la convierte en un arma hermosa.	Простой и в то же время грубый большой меч, он имеет зеленое сияние, придающие ему прекрасные отблески.								Basit ama yine de kaba bir büyük kılıç, yeşil parlıyor ve ona güzel bir parıltı veriyor.								Uma espada larga e simples, mas rude, sua lâmina brilha em verde, dando-lhe um belo brilho.	简单粗暴的大剑，闪烁着绿色的光芒，散发着美丽的光芒。		조잡하지만 단순한 대검으로 녹색으로 빛나고있습니다.								
BlackMetalBattleaxeHTD_Name	Black Metal Battleaxe				Streitaxt aus schwarzem Metall	Hacha de guerra de  metal oscuro	Великий топор из черного металла								Karametal  Savaş Baltası						Zwart metaal Strijdbijl		Machado de Batalha de Metal Negro	黑金属战斧		흑철 전투도끼								
BlackMetalBattleaxeHTD_Desc	A heavy-ended battleaxe forged from dark metal with an emerald sheen.				Eine schwere Streitaxt aus dunklem Metall mit smaragdgrünem Glanz.	Un hacha de batalla  pesada forjada en metal oscuro y con un brillo verde esmeralda.	Боевой топор с тяжелым наконечником, выкованный из темного металла и доведённый до изумрудного блеска.								Zümrüt parlaklığına sahip karametalden dövülmüş ağır uçlu bir savaş baltası.								Um machado de batalha de ponta pesada forjado em metal escuro com um brilho esmeralda.	一把重头战斧，由带有祖母绿光泽的深色金属锻造而成。		녹색 빛을 띄는 흑철로 만든 튼튼한 전투도끼입니다.								
